Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
673-61-1453,B,Mandalay,Member,Male,Sports and travel,97.22,6,29.166,-612.486,02/08/2019,18:37,Credit card,583.32,4.7619,29.166,9.7
365-65-6786,B,Mandalay,Normal,Female,Fashion accessories,37.04,4,7.408,155.568,02/16/2019,18:07,Ewallet,148.16,4.7619,7.408,7.3
566-33-1196,B,Mandalay,Member,Male,Electronic accessories,77.45,9,34.8525,731.9025,02/23/2019,14:06,Cash,697.05,4.7619,34.8525,9.8
740-17-9468,A,Yangon,Normal,Female,Sports and travel,74.35,6,22.305,468.405,03/15/2019,17:25,Cash,446.1,4.7619,22.305,5.8
290-18-8569,B,Mandalay,Normal,Male,Electronic accessories,85.0,4,17.0,357.0,03/02/2019,17:45,Cash,340.0,4.7619,17.0,9.7
444-12-9568,C,Naypyitaw,Member,Female,Electronic accessories,94.94,2,9.494,199.374,01/01/2019,18:10,Credit card,189.88,4.7619,9.494,4.6
302-49-7673,C,Naypyitaw,Member,Female,Fashion accessories,12.04,1,0.602,12.642,02/12/2019,19:19,Ewallet,12.04,4.7619,0.602,7.0
748-84-2041,B,Mandalay,Normal,Male,Sports and travel,35.16,8,14.064,295.344,01/30/2019,18:08,Credit card,281.28,4.7619,14.064,9.3
208-96-7655,A,Yangon,Normal,Male,Food and beverages,65.45,2,6.545,137.445,02/01/2019,18:50,Ewallet,130.9,4.7619,6.545,4.3
371-26-8510,B,Mandalay,Member,Male,Home and lifestyle,10.91,1,0.5455,11.4555,01/14/2019,15:17,Cash,10.91,4.7619,0.5455,8.8
697-23-4380,A,Yangon,Normal,Male,Food and beverages,63.89,4,12.778,268.338,03/14/2019,10:49,Cash,255.56,4.7619,12.778,7.7
855-47-5058,B,Mandalay,Member,Female,Health and beauty,65.9,1,3.295,69.195,01/25/2019,10:53,Cash,65.9,4.7619,3.295,9.1
636-32-3822,B,Mandalay,Normal,Female,Health and beauty,89.2,6,26.76,561.96,01/15/2019,10:21,Credit card,535.2,4.7619,26.76,5.6
844-90-1964,C,Naypyitaw,Normal,Male,Sports and travel,,4,19.75,414.75,03/14/2019,18:46,Credit card,395.0,4.7619,19.75,6.7
295-33-4145,C,Naypyitaw,Member,Male,Health and beauty,41.75,8,16.7,350.7,02/25/2019,13:54,Cash,334.0,4.7619,16.7,9.7
710-45-2794,A,Yangon,Normal,Male,Home and lifestyle,12.75,2,1.275,26.775,02/08/2019,19:27,Ewallet,25.5,4.7619,1.275,4.5
776-68-5096,B,Mandalay,Member,Female,Food and beverages,42.87,5,10.7175,225.0675,03/19/2019,17:21,Ewallet,214.35,4.7619,10.7175,8.0
932-53-5063,B,Mandalay,Member,Female,Home and lifestyle,82.11,3,12.3165,258.6465,01/18/2019,16:06,Credit card,246.33,4.7619,12.3165,6.1
605-56-1503,A,Yangon,Member,Male,Health and beauty,76.32,3,11.448,240.408,01/04/2019,13:52,Ewallet,228.96,4.7619,11.448,6.3
827-92-5114,A,Yangon,Normal,Female,Health and beauty,48.14,6,14.442,303.282,03/25/2019,19:49,Ewallet,288.84,4.7619,14.442,9.3
610-17-9409,A,Yangon,Normal,Male,Fashion accessories,95.57,1,4.7785,100.3485,02/08/2019,18:05,Credit card,95.57,4.7619,4.7785,4.2
990-51-6463,A,Yangon,Member,Female,Fashion accessories,55.8,9,25.11,527.31,03/03/2019,14:11,Cash,502.2,4.7619,25.11,7.8
377-24-9746,B,Mandalay,Member,Male,Fashion accessories,51.72,10,25.86,543.06,03/31/2019,12:14,Credit card,517.2,4.7619,25.86,6.8
251-13-4825,C,Naypyitaw,Normal,Female,Food and beverages,80.23,4,16.046,336.966,03/01/2019,16:54,Ewallet,320.92,4.7619,16.046,4.2
689-29-6102,C,Naypyitaw,Member,Male,Fashion accessories,10.2,3,1.53,32.13,01/05/2019,15:49,Credit card,30.6,4.7619,1.53,9.8
668-42-5554,B,Mandalay,Member,Female,Health and beauty,46.98,6,14.094,295.974,02/03/2019,12:16,Ewallet,281.88,4.7619,14.094,9.6
806-94-5207,C,Naypyitaw,Normal,Female,Sports and travel,93.38,3,14.007,294.147,03/12/2019,18:21,Credit card,280.14,4.7619,14.007,4.6
937-25-1521,A,Yangon,Member,Male,Health and beauty,62.34,8,24.936,523.656,01/11/2019,15:28,Ewallet,498.72,4.7619,24.936,6.8
246-75-3210,A,Yangon,Member,Female,Sports and travel,74.84,4,14.968,314.328,01/12/2019,12:31,Cash,299.36,4.7619,14.968,5.0
804-41-6629,C,Naypyitaw,Normal,Male,Home and lifestyle,51.08,7,17.878,375.438,03/21/2019,15:59,Credit card,357.56,4.7619,17.878,8.4
977-49-8123,C,Naypyitaw,Member,Female,Sports and travel,16.09,2,1.609,33.789,01/15/2019,20:19,Cash,32.18,4.7619,1.609,8.1
920-88-8181,C,Naypyitaw,Member,Female,Health and beauty,79.12,1,3.956,83.076,01/20/2019,10:12,Credit card,79.12,4.7619,3.956,5.4
298-18-7443,C,Naypyitaw,Normal,Female,Electronic accessories,28.78,9,12.951,271.971,02/04/2019,13:29,Credit card,259.02,4.7619,12.951,6.9
788-85-9374,B,Mandalay,Normal,Female,Food and beverages,65.99,6,19.797,415.737,03/04/2019,14:16,Ewallet,395.94,4.7619,19.797,5.7
223-32-3921,B,Mandalay,Normal,Male,Electronic accessories,13.58,10,6.79,142.59,02/07/2019,10:09,Cash,135.8,4.7619,6.79,10.0
313-85-5907,A,Yangon,Member,Female,Food and beverages,28.87,5,7.2175,151.5675,01/21/2019,15:14,Cash,144.35,4.7619,7.2175,8.8
656-87-5346,C,Naypyitaw,Normal,Female,Fashion accessories,18.17,5,4.5425,95.3925,02/19/2019,14:25,Cash,90.85,4.7619,4.5425,5.1
404-83-4128,C,Naypyitaw,Normal,Male,Electronic accessories,10.28,1,0.514,10.794,03/26/2019,20:59,Credit card,10.28,4.7619,0.514,8.4
735-34-8836,B,Mandalay,Member,Male,Sports and travel,89.02,2,8.902,186.942,02/14/2019,16:39,Ewallet,178.04,4.7619,8.902,9.4
578-98-9085,B,Mandalay,Normal,Male,Home and lifestyle,51.21,8,20.484,430.164,03/07/2019,10:26,Ewallet,409.68,4.7619,20.484,6.3
274-51-4383,C,Naypyitaw,Normal,Male,Sports and travel,81.34,4,16.268,341.628,03/07/2019,12:22,Ewallet,325.36,4.7619,16.268,8.8
381-89-8847,B,Mandalay,Member,Male,Health and beauty,98.63,10,49.315,1035.615,01/02/2019,20:31,Cash,986.3,4.7619,49.315,7.0
596-27-7452,C,Naypyitaw,Normal,Female,Fashion accessories,64.03,10,32.015,672.315,01/27/2019,17:39,Cash,640.3,4.7619,32.015,8.0
174-81-4221,A,Yangon,Normal,Female,Fashion accessories,47.51,8,19.004,399.084,01/21/2019,15:45,Cash,380.08,4.7619,19.004,4.3
683-62-4996,A,Yangon,Normal,Male,Health and beauty,37.17,1,1.8585,39.0285,02/11/2019,12:07,Ewallet,37.17,4.7619,1.8585,5.9
135-78-7902,B,Mandalay,Normal,Male,Electronic accessories,15.63,5,3.9075,82.0575,02/22/2019,15:32,Ewallet,78.15,4.7619,3.9075,5.1
480-73-8416,C,Naypyitaw,Normal,Male,Electronic accessories,72.64,10,36.32,762.72,03/01/2019,12:58,Cash,726.4,4.7619,36.32,4.7
780-63-1990,B,Mandalay,Normal,Male,Health and beauty,,4,4.804,100.884,03/30/2019,15:39,Credit card,96.08,4.7619,4.804,9.0
647-20-6153,A,Yangon,Member,Male,Sports and travel,47.59,9,21.4155,449.7255,03/12/2019,15:39,Ewallet,428.31,4.7619,21.4155,5.6
613-21-7325,B,Mandalay,Normal,Female,Fashion accessories,51.47,6,15.441,324.261,02/20/2019,12:14,Cash,308.82,4.7619,15.441,4.7
507-62-4351,C,Naypyitaw,Member,Female,Health and beauty,72.45,9,32.6025,684.6525,02/28/2019,20:37,Ewallet,652.05,4.7619,32.6025,5.3
242-78-1736,A,Yangon,Member,Female,Fashion accessories,64.69,2,6.469,135.849,03/23/2019,20:47,Cash,129.38,4.7619,6.469,7.7
536-32-6693,A,Yangon,Normal,Female,Fashion accessories,60.79,6,18.237,382.977,01/21/2019,16:06,Ewallet,364.74,4.7619,18.237,6.1
783-68-6740,C,Naypyitaw,Member,Male,Fashion accessories,37.48,4,7.496,157.416,03/25/2019,18:40,Ewallet,149.92,4.7619,7.496,4.6
524-19-3680,B,Mandalay,Member,Female,Food and beverages,19.0,9,8.55,179.55,02/16/2019,15:01,Ewallet,171.0,4.7619,8.55,4.7
925-32-9535,C,Naypyitaw,Normal,Female,Sports and travel,,8,19.152,402.192,01/13/2019,14:40,Cash,383.04,4.7619,19.152,8.1
428-69-7028,B,Mandalay,Normal,Female,Health and beauty,69.13,4,13.826,290.346,02/01/2019,20:41,Cash,276.52,4.7619,13.826,8.8
739-87-5161,A,Yangon,Normal,Male,Food and beverages,33.04,10,16.52,346.92,03/01/2019,12:48,Credit card,330.4,4.7619,16.52,6.0
212-55-2648,A,Yangon,Normal,Male,Sports and travel,21.87,5,5.4675,114.8175,02/21/2019,18:50,Ewallet,109.35,4.7619,5.4675,6.0
441-27-3096,B,Mandalay,Normal,Female,Home and lifestyle,32.2,4,6.44,135.24,03/30/2019,20:23,Credit card,128.8,4.7619,6.44,4.2
919-97-5973,C,Naypyitaw,Member,Male,Sports and travel,75.44,8,30.176,633.696,02/06/2019,14:32,Ewallet,603.52,4.7619,30.176,8.9
584-38-8221,B,Mandalay,Normal,Female,Sports and travel,56.28,4,11.256,236.376,03/17/2019,16:21,Credit card,225.12,4.7619,11.256,4.4
647-21-7292,B,Mandalay,Member,Male,Sports and travel,19.79,2,1.979,41.559,02/20/2019,17:33,Credit card,39.58,4.7619,1.979,4.7
313-19-8603,B,Mandalay,Member,Male,Home and lifestyle,79.62,9,35.829,752.409,02/10/2019,11:54,Credit card,716.58,4.7619,35.829,8.5
620-93-8454,B,Mandalay,Normal,Female,Health and beauty,48.96,7,17.136,359.856,02/23/2019,17:52,Credit card,342.72,4.7619,17.136,4.6
219-17-5824,A,Yangon,Member,Female,Sports and travel,27.18,7,9.513,199.773,02/01/2019,11:08,Ewallet,190.26,4.7619,9.513,6.6
784-61-1566,A,Yangon,Normal,Female,Health and beauty,36.89,8,14.756,309.876,01/08/2019,20:59,Ewallet,295.12,4.7619,14.756,5.7
627-82-5354,A,Yangon,Normal,Female,Electronic accessories,25.93,5,6.4825,136.1325,03/28/2019,10:16,Cash,129.65,4.7619,6.4825,5.8
518-84-2029,A,Yangon,Normal,Male,Sports and travel,83.58,4,16.716,351.036,03/18/2019,16:54,Ewallet,334.32,4.7619,16.716,6.6
644-80-8954,B,Mandalay,Normal,Female,Fashion accessories,,7,30.3905,638.2005,01/25/2019,17:46,Credit card,607.81,4.7619,30.3905,4.3
270-98-8896,B,Mandalay,Member,Male,Fashion accessories,58.76,7,20.566,431.886,02/10/2019,10:37,Credit card,411.32,4.7619,20.566,7.4
249-38-9412,B,Mandalay,Normal,Male,Home and lifestyle,63.87,3,9.5805,201.1905,02/28/2019,13:15,Cash,191.61,4.7619,9.5805,6.7
673-70-7859,C,Naypyitaw,Normal,Female,Health and beauty,18.27,9,8.2215,172.6515,03/24/2019,16:57,Ewallet,164.43,4.7619,8.2215,6.3
753-80-3562,B,Mandalay,Normal,Female,Health and beauty,11.6,3,1.74,36.54,03/16/2019,12:08,Cash,34.8,4.7619,1.74,8.4
382-31-2689,B,Mandalay,Normal,Female,Food and beverages,78.58,6,23.574,495.054,02/16/2019,12:04,Cash,471.48,4.7619,23.574,9.4
964-40-1908,B,Mandalay,Member,Female,Sports and travel,59.45,6,17.835,374.535,02/01/2019,10:43,Credit card,356.7,4.7619,17.835,9.5
668-16-6949,A,Yangon,Normal,Female,Health and beauty,47.9,9,21.555,452.655,02/04/2019,18:02,Credit card,431.1,4.7619,21.555,7.4
765-93-3565,C,Naypyitaw,Normal,Male,Sports and travel,39.84,9,17.928,376.488,01/28/2019,15:49,Ewallet,358.56,4.7619,17.928,7.9
885-16-2967,A,Yangon,Member,Female,Fashion accessories,79.54,10,39.77,835.17,01/03/2019,15:30,Cash,795.4,4.7619,39.77,4.6
789-27-3883,B,Mandalay,Normal,Male,Home and lifestyle,84.75,5,21.1875,444.9375,03/30/2019,15:39,Credit card,423.75,4.7619,21.1875,7.3
637-95-1304,B,Mandalay,Normal,Male,Food and beverages,96.88,9,43.596,915.516,03/31/2019,19:21,Ewallet,871.92,4.7619,43.596,6.0
632-48-9265,A,Yangon,Member,Male,Fashion accessories,20.28,4,4.056,85.176,03/20/2019,16:20,Ewallet,81.12,4.7619,4.056,9.0
328-83-8241,A,Yangon,Member,Male,Health and beauty,93.87,9,42.2415,887.0715,03/04/2019,10:29,Cash,844.83,4.7619,42.2415,8.6
454-53-8183,A,Yangon,Member,Female,Electronic accessories,94.23,5,23.5575,494.7075,01/23/2019,18:16,Cash,471.15,4.7619,23.5575,9.7
601-58-7491,A,Yangon,Normal,Male,Food and beverages,90.5,3,13.575,285.075,02/23/2019,20:48,Cash,271.5,4.7619,13.575,5.9
445-77-8256,B,Mandalay,Normal,Female,Fashion accessories,19.13,2,1.913,40.173,02/25/2019,16:30,Cash,38.26,4.7619,1.913,5.4
816-70-2664,B,Mandalay,Member,Female,Sports and travel,45.95,8,18.38,385.98,01/17/2019,12:25,Cash,367.6,4.7619,18.38,8.6
185-57-3131,C,Naypyitaw,Member,Female,Sports and travel,33.75,9,15.1875,318.9375,01/28/2019,14:36,Cash,303.75,4.7619,15.1875,4.5
285-62-9034,A,Yangon,Member,Female,Fashion accessories,46.41,9,20.8845,438.5745,03/12/2019,17:42,Credit card,417.69,4.7619,20.8845,7.0
342-90-6221,C,Naypyitaw,Member,Female,Electronic accessories,11.19,3,1.6785,35.2485,01/07/2019,17:42,Cash,33.57,4.7619,1.6785,7.5
964-29-6939,A,Yangon,Member,Male,Health and beauty,48.43,1,2.4215,50.8515,01/24/2019,20:13,Ewallet,48.43,4.7619,2.4215,5.4
367-58-8185,C,Naypyitaw,Member,Female,Sports and travel,23.01,1,1.1505,24.1605,02/25/2019,20:41,Credit card,23.01,4.7619,1.1505,7.1
311-16-2185,A,Yangon,Member,Male,Health and beauty,80.34,9,36.153,759.213,03/17/2019,16:19,Credit card,723.06,4.7619,36.153,9.3
704-77-6572,C,Naypyitaw,Normal,Female,Home and lifestyle,22.74,1,1.137,23.877,01/07/2019,18:45,Cash,22.74,4.7619,1.137,6.1
641-85-5315,C,Naypyitaw,Member,Male,Home and lifestyle,93.01,3,13.9515,292.9815,01/30/2019,20:55,Ewallet,279.03,4.7619,13.9515,9.2
920-30-5189,C,Naypyitaw,Member,Male,Sports and travel,54.0,5,13.5,283.5,03/30/2019,20:13,Ewallet,270.0,4.7619,13.5,6.0
241-16-3764,C,Naypyitaw,Normal,Male,Sports and travel,12.47,6,3.741,78.561,02/14/2019,13:43,Credit card,74.82,4.7619,3.741,6.0
226-37-7061,B,Mandalay,Normal,Male,Sports and travel,73.57,7,25.7495,540.7395,01/07/2019,16:57,Credit card,514.99,4.7619,25.7495,7.8
857-39-7216,C,Naypyitaw,Normal,Male,Home and lifestyle,86.67,8,34.668,728.028,02/04/2019,13:51,Cash,693.36,4.7619,34.668,8.6
285-34-7129,A,Yangon,Normal,Male,Fashion accessories,69.15,1,3.4575,72.6075,03/14/2019,18:54,Cash,69.15,4.7619,3.4575,6.4
246-54-7165,A,Yangon,Member,Male,Sports and travel,38.29,8,15.316,321.636,02/01/2019,10:10,Cash,306.32,4.7619,15.316,4.6
415-34-3401,A,Yangon,Member,Female,Sports and travel,11.13,1,0.5565,11.6865,02/16/2019,12:16,Ewallet,11.13,4.7619,0.5565,7.6
466-66-5673,A,Yangon,Member,Female,Home and lifestyle,38.06,6,11.418,239.778,02/17/2019,11:14,Credit card,228.36,4.7619,11.418,6.9
668-56-1718,B,Mandalay,Normal,Male,Fashion accessories,15.36,4,3.072,64.512,03/23/2019,15:12,Cash,61.44,4.7619,3.072,7.4
372-69-1666,B,Mandalay,Member,Male,Health and beauty,47.18,2,4.718,99.078,03/02/2019,11:03,Ewallet,94.36,4.7619,4.718,7.9
358-71-8295,A,Yangon,Normal,Female,Home and lifestyle,70.03,4,14.006,294.126,02/26/2019,19:51,Ewallet,280.12,4.7619,14.006,6.0
571-64-1564,C,Naypyitaw,Normal,Female,Fashion accessories,33.79,5,8.4475,177.3975,03/21/2019,10:44,Cash,168.95,4.7619,8.4475,7.7
539-72-5152,B,Mandalay,Member,Female,Health and beauty,44.02,8,17.608,369.768,02/03/2019,10:19,Cash,352.16,4.7619,17.608,9.3
686-23-4619,B,Mandalay,Member,Female,Home and lifestyle,51.5,5,12.875,270.375,01/07/2019,16:21,Cash,257.5,4.7619,12.875,5.6
981-18-8386,A,Yangon,Member,Female,Food and beverages,47.61,4,9.522,199.962,03/15/2019,19:04,Cash,190.44,4.7619,9.522,8.2
968-80-3865,A,Yangon,Member,Female,Sports and travel,80.19,9,36.0855,757.7955,01/08/2019,12:46,Credit card,721.71,4.7619,36.0855,8.0
611-79-1780,A,Yangon,Member,Male,Sports and travel,81.7,1,4.085,85.785,03/06/2019,14:11,Credit card,81.7,4.7619,4.085,9.2
103-63-1388,A,Yangon,Normal,Male,Electronic accessories,61.63,1,3.0815,64.7115,02/27/2019,18:36,Cash,61.63,4.7619,3.0815,4.7
194-42-2735,B,Mandalay,Normal,Male,Food and beverages,96.33,10,48.165,1011.465,03/06/2019,11:22,Cash,963.3,4.7619,48.165,4.1
155-36-7459,A,Yangon,Member,Male,Fashion accessories,50.78,9,22.851,479.871,03/25/2019,17:13,Cash,457.02,4.7619,22.851,5.3
155-48-3392,A,Yangon,Member,Male,Food and beverages,30.35,9,13.6575,286.8075,02/08/2019,19:32,Credit card,273.15,4.7619,13.6575,4.5
816-60-2369,A,Yangon,Normal,Male,Health and beauty,23.44,8,9.376,196.896,01/12/2019,12:45,Cash,187.52,4.7619,9.376,8.1
202-70-4221,B,Mandalay,Normal,Male,Home and lifestyle,44.29,1,2.2145,46.5045,01/15/2019,10:14,Cash,44.29,4.7619,2.2145,4.3
401-99-1264,C,Naypyitaw,Normal,Male,Sports and travel,,9,34.1775,717.7275,02/07/2019,10:17,Credit card,683.55,4.7619,34.1775,8.7
752-28-3750,A,Yangon,Member,Female,Home and lifestyle,58.4,2,5.84,122.64,01/01/2019,14:26,Cash,116.8,4.7619,5.84,9.0
965-68-5144,B,Mandalay,Normal,Female,Home and lifestyle,55.18,8,22.072,463.512,03/20/2019,17:03,Credit card,441.44,4.7619,22.072,6.9
646-95-8933,C,Naypyitaw,Normal,Female,Electronic accessories,51.26,10,25.63,538.23,02/09/2019,17:32,Cash,512.6,4.7619,25.63,7.3
493-18-2360,B,Mandalay,Member,Female,Health and beauty,65.35,6,19.605,411.705,01/01/2019,20:31,Cash,392.1,4.7619,19.605,8.3
412-77-9319,C,Naypyitaw,Normal,Male,Home and lifestyle,20.64,6,6.192,130.032,03/06/2019,19:29,Ewallet,123.84,4.7619,6.192,6.5
210-62-2229,C,Naypyitaw,Member,Male,Sports and travel,85.82,5,21.455,450.555,02/11/2019,17:39,Cash,429.1,4.7619,21.455,9.7
471-63-9746,A,Yangon,Member,Male,Health and beauty,34.58,1,1.729,36.309,03/17/2019,19:18,Ewallet,34.58,4.7619,1.729,5.5
340-61-3703,C,Naypyitaw,Member,Male,Sports and travel,,3,12.93,271.53,03/23/2019,14:19,Cash,258.6,4.7619,12.93,8.1
850-52-5871,A,Yangon,Normal,Female,Food and beverages,47.72,6,14.316,300.636,02/24/2019,16:25,Ewallet,286.32,4.7619,14.316,5.3
946-40-9066,C,Naypyitaw,Member,Female,Fashion accessories,33.26,9,14.967,314.307,03/30/2019,17:10,Credit card,299.34,4.7619,14.967,9.7
828-62-4198,A,Yangon,Member,Male,Food and beverages,42.78,3,6.417,134.757,02/14/2019,14:22,Ewallet,128.34,4.7619,6.417,5.4
764-31-7703,C,Naypyitaw,Member,Male,Health and beauty,96.73,7,33.8555,710.9655,01/23/2019,18:47,Credit card,677.11,4.7619,33.8555,4.4
385-37-6311,B,Mandalay,Normal,Male,Sports and travel,17.62,3,2.643,55.503,02/25/2019,18:55,Ewallet,52.86,4.7619,2.643,4.6
268-77-1197,A,Yangon,Normal,Female,Health and beauty,,2,9.485,199.185,02/06/2019,10:14,Cash,189.7,4.7619,9.485,6.3
820-73-8882,C,Naypyitaw,Normal,Male,Electronic accessories,72.91,10,36.455,765.555,03/28/2019,11:28,Credit card,729.1,4.7619,36.455,7.7
865-19-8488,A,Yangon,Normal,Female,Fashion accessories,86.25,3,12.9375,271.6875,02/15/2019,15:42,Cash,258.75,4.7619,12.9375,5.9
945-64-1688,C,Naypyitaw,Normal,Female,Fashion accessories,85.71,7,29.9985,629.9685,02/06/2019,12:42,Cash,599.97,4.7619,29.9985,6.8
386-52-1728,A,Yangon,Normal,Female,Sports and travel,77.92,6,23.376,490.896,03/18/2019,19:13,Ewallet,467.52,4.7619,23.376,6.1
142-84-8312,C,Naypyitaw,Member,Male,Health and beauty,98.15,7,34.3525,721.4025,03/01/2019,14:56,Ewallet,687.05,4.7619,34.3525,4.1
105-58-8062,C,Naypyitaw,Normal,Female,Electronic accessories,98.85,10,49.425,1037.925,03/03/2019,16:57,Ewallet,988.5,4.7619,49.425,7.8
339-40-9354,C,Naypyitaw,Member,Female,Sports and travel,24.12,8,9.648,202.608,03/20/2019,16:14,Cash,192.96,4.7619,9.648,8.4
865-88-1735,C,Naypyitaw,Member,Male,Fashion accessories,88.84,4,17.768,373.128,02/02/2019,20:38,Credit card,355.36,4.7619,17.768,9.0
683-48-8476,A,Yangon,Normal,Female,Home and lifestyle,74.59,2,7.459,156.639,02/18/2019,12:08,Ewallet,149.18,4.7619,7.459,5.9
556-82-4725,C,Naypyitaw,Member,Male,Sports and travel,16.17,9,7.2765,152.8065,02/19/2019,19:21,Cash,145.53,4.7619,7.2765,6.9
239-30-6271,A,Yangon,Member,Female,Fashion accessories,31.76,8,12.704,266.784,03/22/2019,11:53,Cash,254.08,4.7619,12.704,5.9
218-78-1650,A,Yangon,Member,Male,Health and beauty,24.84,3,3.726,78.246,02/24/2019,16:32,Ewallet,74.52,4.7619,3.726,9.6
226-22-4220,B,Mandalay,Member,Female,Health and beauty,77.36,2,7.736,162.456,01/19/2019,11:52,Credit card,154.72,4.7619,7.736,8.6
388-64-8244,B,Mandalay,Member,Male,Sports and travel,48.05,9,21.6225,454.0725,01/14/2019,18:43,Ewallet,432.45,4.7619,21.6225,8.6
691-89-9038,C,Naypyitaw,Normal,Male,Fashion accessories,,1,2.3365,49.0665,03/28/2019,17:08,Credit card,46.73,4.7619,2.3365,4.7
236-13-4259,C,Naypyitaw,Normal,Male,Electronic accessories,13.33,4,2.666,55.986,02/05/2019,19:25,Credit card,53.32,4.7619,2.666,7.9
157-45-8351,C,Naypyitaw,Normal,Female,Home and lifestyle,75.31,1,3.7655,79.0755,01/31/2019,17:42,Ewallet,75.31,4.7619,3.7655,5.3
384-77-7801,B,Mandalay,Member,Female,Electronic accessories,65.79,8,26.316,552.636,03/12/2019,18:12,Credit card,526.32,4.7619,26.316,4.0
470-45-4770,B,Mandalay,Normal,Male,Health and beauty,48.39,6,14.517,304.857,02/09/2019,14:08,Ewallet,290.34,4.7619,14.517,4.4
692-50-1353,B,Mandalay,Normal,Male,Food and beverages,76.89,7,26.9115,565.1415,03/02/2019,15:28,Cash,538.23,4.7619,26.9115,7.0
661-14-5359,C,Naypyitaw,Normal,Male,Home and lifestyle,15.97,5,3.9925,83.8425,03/16/2019,11:50,Ewallet,79.85,4.7619,3.9925,8.5
638-83-1475,A,Yangon,Member,Male,Fashion accessories,,2,6.337,133.077,03/06/2019,20:50,Credit card,126.74,4.7619,6.337,5.4
906-75-9780,C,Naypyitaw,Normal,Male,Health and beauty,43.75,9,19.6875,413.4375,03/28/2019,14:39,Ewallet,393.75,4.7619,19.6875,9.4
182-90-5540,B,Mandalay,Normal,Male,Home and lifestyle,85.45,3,12.8175,269.1675,03/11/2019,12:13,Ewallet,256.35,4.7619,12.8175,9.8
725-68-7875,C,Naypyitaw,Normal,Female,Sports and travel,99.83,1,4.9915,104.8215,01/07/2019,14:16,Credit card,99.83,4.7619,4.9915,6.8
665-79-2671,B,Mandalay,Normal,Male,Home and lifestyle,77.77,10,38.885,816.585,03/16/2019,13:45,Credit card,777.7,4.7619,38.885,8.9
